City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Paamiut,GL,61.994,-49.6678,38.35,79,99,25.26,overcast clouds
302,Crib Point,AU,-38.35,145.2,60.01,72,42,7.54,scattered clouds
303,Homer,US,59.6425,-151.5483,37.4,93,90,10.36,light rain
304,Iralaya,HN,15.0,-83.2333,78.04,82,82,16.28,broken clouds
305,Sao Joao Do Piaui,BR,-8.3581,-42.2467,99.01,24,35,10.2,scattered clouds
306,Zhaoqing,CN,23.0512,112.4597,72.0,99,77,3.27,broken clouds
307,Linxia,CN,35.6003,103.2064,41.22,82,100,3.36,overcast clouds
308,Gualdo Tadino,IT,43.2317,12.781,51.01,31,1,3.0,clear sky
309,Kargil,IN,34.5667,76.1,31.41,88,100,2.77,light snow
310,Eyl,SO,7.9803,49.8164,81.61,71,11,10.96,few clouds
311,Rosetta,EG,31.4044,30.4164,75.2,25,0,4.61,clear sky
312,Polyarnyy,RU,69.1989,33.4478,35.6,75,40,13.42,scattered clouds
313,Aigle,CH,46.3181,6.9646,59.0,36,0,18.41,clear sky
314,Dudinka,RU,69.4058,86.1778,14.41,94,100,13.94,light snow
315,Lowestoft,GB,52.4752,1.7516,60.01,66,24,4.0,few clouds
316,Bay Roberts,CA,47.5999,-53.2648,48.2,81,90,16.11,overcast clouds
317,Nioki,CD,-2.7167,17.6833,80.42,71,98,2.26,overcast clouds
318,Nalgonda,IN,17.05,79.2667,87.67,39,41,8.77,scattered clouds
319,Mayumba,GA,-3.432,10.6554,80.65,82,87,8.9,overcast clouds
320,Nome,US,64.5011,-165.4064,-0.4,78,90,24.16,snow
321,Zhigansk,RU,66.7697,123.3711,-23.89,99,53,5.48,broken clouds
322,Pskov,RU,57.8136,28.3496,41.0,70,75,8.95,broken clouds
323,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,88,75,10.78,broken clouds
324,Georgiyevka,KZ,43.0369,74.7114,53.6,76,75,13.42,broken clouds
325,Jacmel,HT,18.2342,-72.5347,86.0,54,75,5.75,broken clouds
326,San Policarpo,PH,12.1791,125.5072,81.86,67,86,11.97,overcast clouds
327,Cherskiy,RU,68.75,161.3,-15.7,100,96,3.11,overcast clouds
328,Isangel,VU,-19.55,169.2667,76.01,77,72,16.04,broken clouds
329,Port Hardy,CA,50.6996,-127.4199,41.0,81,20,6.91,few clouds
330,Ostrovnoy,RU,68.0531,39.5131,32.16,88,100,20.24,overcast clouds
331,Faanui,PF,-16.4833,-151.75,81.07,77,25,9.64,light rain
332,Zaranj,AF,30.9667,61.8833,73.81,17,59,21.85,broken clouds
333,Marrakesh,MA,31.6315,-8.0083,75.2,35,0,6.91,clear sky
334,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,56,90,4.61,overcast clouds
335,Storforshei,NO,66.4043,14.5233,35.01,100,90,6.91,mist
336,Beatrice,US,40.2681,-96.747,73.4,46,1,13.8,clear sky
337,Gazojak,TM,41.1875,61.4036,54.28,48,97,12.66,overcast clouds
338,Tilichiki,RU,60.4667,166.1,5.5,87,100,15.97,overcast clouds
339,Dunedin,NZ,-45.8742,170.5036,55.0,87,38,4.0,scattered clouds
340,Sitka,US,57.0531,-135.33,35.6,93,90,5.75,light rain
341,Opuwo,NA,-18.0607,13.84,78.76,39,10,7.76,clear sky
342,Murray Bridge,AU,-35.1167,139.2667,61.0,89,0,8.84,clear sky
343,Mandalgovi,MN,45.7625,106.2708,36.46,22,36,5.21,scattered clouds
344,Norrtalje,SE,59.758,18.705,51.01,50,0,20.71,clear sky
